,x,y,time,ard
0,[63961 65478 66423],[39492 61080 39335],1509734925440,0
1,[63960 65478 66423],[39491 61079 39334],1509734925441,0
2,[63960 65480 66423],[39492 61079 39335],1509734925478,
3,[63960 65480 66423],[39492 61079 39335],1509734925478,"0.0894,0.5612,2.5000,3.0000
"
4,[63961 65480 66423],[39492 61080 39334],1509734925478,"0.1155,0.5610,2.5000,3.0000
"
5,[63960 65479 66423],[39492 61080 39335],1509734925479,"0.0913,0.5613,2.5000,3.0000
"
6,[63960 65480 66423],[39491 61079 39335],1509734925479,"0.0890,0.5610,2.5000,3.0000
"
7,[63960 65480 66423],[39491 61079 39335],1509734925480,"0.0889,0.5613,2.5000,3.0000
"
8,[63961 65481 66423],[39492 61079 39335],1509734925480,"0.0891,0.5264,2.5000,3.0000
"
9,[63961 65479 66423],[39492 61079 39335],1509734926466,"0.0550,0.5þ0.0890,0.5615,2.5000,3.0000
"
