,x,y,time,ard
0,[50266 50582 61486],[50473 61038 61241],1509850214925,[ 0.0111  0.6378  1.2     1.7   ]
1,[50264 50583 61485],[50475 61037 61240],1509850214941,[ 0.0108  0.6378  1.2     1.7   ]
2,[50265 50582 61485],[50472 61036 61240],1509850214957,[ 0.0111  0.6378  1.2     1.7   ]
3,[50264 50583 61485],[50474 61036 61240],1509850214957,[ 0.0111  0.6378  1.2     1.7   ]
4,[50265 50590 61485],[50475 61042 61240],1509850214973,[ 0.0111  0.6382  1.2     1.7   ]
5,[50265 50590 61486],[50474 61043 61240],1509850214989,[ 0.0111  0.6378  1.2     1.7   ]
6,[50265 50581 61486],[50475 61035 61240],1509850214990,[ 0.0111  0.6382  1.2     1.7   ]
7,[50264 50580 61486],[50474 61035 61240],1509850215005,[ 0.0108  0.6378  1.2     1.7   ]
8,[50264 50581 61485],[50474 61036 61240],1509850215006,[ 0.0108  0.6378  1.2     1.7   ]
9,[50265 50582 61486],[50474 61035 61240],1509850215019,[ 0.0108  0.6378  1.2     1.7   ]
10,[50266 50591 61487],[50474 61043 61240],1509850215035,[ 0.0108  0.6378  1.2     1.7   ]
11,[50252 50581 61486],[50473 61036 61240],1509850215035,[ 0.0111  0.6378  1.2     1.7   ]
12,[50264 50592 61486],[50473 61043 61241],1509850215051,[ 0.0108  0.6378  1.2     1.7   ]
13,[50265 50582 61485],[50473 61036 61240],1509850215067,[ 0.0111  0.6378  1.2     1.7   ]
14,[50264 50584 61485],[50473 61036 61240],1509850215068,[ 0.0111  0.6378  1.2     1.7   ]
15,[50265 50591 61485],[50475 61043 61240],1509850215085,[ 0.0111  0.6377  1.2     1.7   ]
16,[50265 50593 61486],[50472 61043 61240],1509850215086,[ 0.0108  0.6381  1.2     1.7   ]
17,[50265 50582 61486],[50474 61037 61240],1509850215101,[ 0.0108  0.6378  1.2     1.7   ]
18,[50265 50581 61485],[50475 61035 61240],1509850215117,[ 0.0108  0.6377  1.2     1.7   ]
19,[50264 50589 61486],[50474 61043 61240],1509850215118,[ 0.0108  0.6381  1.2     1.7   ]
20,[50266 50592 61486],[50473 61043 61240],1509850215133,[ 0.0108  0.6378  1.2     1.7   ]
21,[50266 50589 61485],[50475 61043 61240],1509850215149,[ 0.0111  0.6378  1.2     1.7   ]
22,[50265 50592 61485],[50474 61042 61240],1509850215149,[ 0.0108  0.6382  1.2     1.7   ]
23,[50264 50591 61485],[50473 61041 61240],1509850215165,[ 0.0108  0.6378  1.2     1.7   ]
24,[50266 50583 61486],[50473 61035 61239],1509850215166,[ 0.0108  0.6378  1.2     1.7   ]
25,[50266 50580 61486],[50474 61036 61239],1509850215181,[ 0.0111  0.6378  1.2     1.7   ]
26,[50264 50583 61486],[50474 61036 61240],1509850215197,[ 0.0111  0.6382  1.2     1.7   ]
27,[50265 50591 61485],[50473 61043 61240],1509850215198,[ 0.0108  0.6381  1.2     1.7   ]
28,[50265 50582 61485],[50473 61035 61240],1509850215213,[ 0.0108  0.6378  1.2     1.7   ]
29,[50265 50584 61485],[50474 61036 61240],1509850215229,[ 0.0111  0.6381  1.2     1.7   ]
30,[50264 50580 61486],[50474 61036 61240],1509850215229,[ 0.0108  0.6379  1.2     1.7   ]
31,[50265 50582 61480],[50473 61036 61238],1509850215245,[ 0.0111  0.6378  1.2     1.7   ]
32,[50265 50583 61486],[50474 61037 61241],1509850215246,[ 0.0111  0.6381  1.2     1.7   ]
33,[50266 50586 61486],[50473 61036 61240],1509850215261,[ 0.0108  0.6382  1.2     1.7   ]
