,x,y,time,ard
0,[52411 60865 61803 69031],[39341 58709 60772 39071],1509850596576,[ 2.4842  3.036   2.5     3.    ]
1,[52329 60851 61798 69161],[39371 58708 60769 39127],1509850596592,[ 2.5716  3.1283  2.5     3.    ]
2,[52244 60838 61789 69292],[39400 58710 60768 39188],1509850596593,[ 2.5353  3.0697  2.5     3.    ]
3,[52174 60826 61784 69406],[39425 58712 60765 39237],1509850596606,[ 2.4462  2.9457  2.5     3.    ]
4,[52112 60817 61781 69478],[39448 58711 60763 39272],1509850596607,[ 2.4294  2.9012  2.5     3.    ]
5,[52068 60808 61777 69519],[39467 58710 60762 39299],1509850596622,[ 2.5075  2.97    2.5     3.    ]
6,[52032 60800 61774 69540],[39482 58711 60762 39314],1509850596639,[ 2.5874  3.0544  2.5     3.    ]
7,[52012 60796 61771 69538],[39492 58713 60762 39319],1509850596639,[ 2.572   3.0514  2.5     3.    ]
8,[52008 60794 61772 69523],[39494 58713 60763 39315],1509850596656,[ 2.4705  2.9748  2.5     3.    ]
9,[52016 60797 61772 69508],[39492 58714 60764 39307],1509850596672,[ 2.4248  2.9349  2.5     3.    ]
10,[52120 60816 61771 69383],[39390 58646 60718 39165],1509850596672,[ 2.4689  2.9793  1.2     1.7   ]
11,[52330 60800 61737 69135],[39235 58517 60679 38965],1509850596688,[ 2.4814  3.005   1.2     1.7   ]
12,[52497 60741 61714 68910],[39193 58545 60735 38912],1509850596689,[ 2.2527  2.7843  1.2     1.7   ]
13,[52839 60796 61743 68490],[39090 58569 60755 38748],1509850596704,[ 1.9274  2.4762  1.2     1.7   ]
14,[53281 60888 61784 67918],[38953 58530 60778 38525],1509850596720,[ 1.6144  2.1783  1.2     1.7   ]
15,[53838 61000 61826 67193],[38762 58460 60787 38248],1509850596720,[ 1.2878  1.8625  1.2     1.7   ]
16,[54430 61148 61871 66411],[38576 58438 60796 37991],1509850596736,[ 1.0327  1.6396  1.2     1.7   ]
17,[55058 61281 61916 65738],[38403 58448 60807 37782],1509850596752,[ 0.9301  1.5493  1.2     1.7   ]
18,[55598 61378 61960],[38241 58434 60810],1509850596752,[ 0.9471  1.5491  1.2     1.7   ]
19,[61467 61995],[58423 60807],1509850596768,[ 1.0236  1.5922  1.2     1.7   ]
20,[61541 62023],[58415 60807],1509850596769,[ 1.1097  1.6336  1.2     1.7   ]
21,[61600 62047],[58412 60809],1509850596784,[ 1.1771  1.6661  1.2     1.7   ]
22,[61647 62072],[58402 60813],1509850596800,[ 1.2213  1.6871  1.2     1.7   ]
23,[61667 62086],[58388 60809],1509850596801,[ 1.2386  1.698   1.2     1.7   ]
24,[61686 62097],[58380 60806],1509850596816,[ 1.2383  1.7041  1.2     1.7   ]
25,[61730 62107],[58383 60809],1509850596832,[ 1.2367  1.7054  1.2     1.7   ]
26,[61764 62119],[58389 60813],1509850596833,[ 1.2279  1.7054  1.2     1.7   ]
27,[61779 62129],[58385 60813],1509850596848,[ 1.2184  1.7054  1.2     1.7   ]
28,[61785 62137],[58377 60811],1509850596849,[ 1.2108  1.7025  1.2     1.7   ]
29,[61799 62141],[58375 60812],1509850596864,[ 1.2046  1.7025  1.2     1.7   ]
30,[61828 62146],[58381 60814],1509850596880,[ 1.203   1.7025  1.2     1.7   ]
31,[61843 62151],[58381 60813],1509850596880,[ 1.2017  1.7026  1.2     1.7   ]
32,[61848 62156],[58375 60810],1509850596896,[ 1.2017  1.7025  1.2     1.7   ]
33,[61855 62160],[58373 60810],1509850596912,[ 1.2017  1.7012  1.2     1.7   ]
34,[61870 62162],[58375 60812],1509850596913,[ 0.9147  1.4297  1.2     1.7   ]
35,[61884 62168],[58377 60811],1509850596928,[ 0.5757  1.1546  1.2     1.7   ]
36,[61891 62175],[58374 60810],1509850596929,[ 0.1751  0.8297  1.2     1.7   ]
37,[61902 62185],[58371 60812],1509850596944,[ 0.0907  0.851   1.2     1.7   ]
38,[61912 62185],[58374 60812],1509850596960,[ 0.3011  0.983   1.2     1.7   ]
39,[61913 62185],[58373 60811],1509850596961,[ 0.5374  1.1762  1.2     1.7   ]
40,[61913 62186],[58373 60812],1509850596976,[ 0.7213  1.2901  1.2     1.7   ]
41,[61911 62186],[58372 60811],1509850596992,[ 0.8735  1.3942  1.2     1.7   ]
42,[61912 62188],[58372 60811],1509850596993,[ 0.9654  1.4724  1.2     1.7   ]
43,[61912 62185],[58374 60811],1509850597008,[ 1.0266  1.5352  1.2     1.7   ]
44,[61912 62185],[58372 60811],1509850597009,[ 1.079  1.583  1.2    1.7  ]
45,[61914 62186],[58372 60811],1509850597024,[ 1.1248  1.6229  1.2     1.7   ]
46,[61914 62187],[58373 60811],1509850597040,[ 1.1585  1.6458  1.2     1.7   ]
47,[61915 62186],[58373 60812],1509850597041,[ 1.168   1.6535  1.2     1.7   ]
48,[61914 62185],[58373 60810],1509850597056,[ 1.1647  1.6521  1.2     1.7   ]
49,[61913 62188],[58373 60812],1509850597072,[ 1.1434  1.6367  1.2     1.7   ]
50,[61914 62187],[58373 60811],1509850597073,[ 1.1248  1.6168  1.2     1.7   ]
51,[61912 62189],[58373 60812],1509850597088,[ 1.1019  1.5906  1.2     1.7   ]
52,[61914 62188],[58372 60813],1509850597089,[ 1.0682  1.5566  1.2     1.7   ]
53,[61915 62185],[58371 60811],1509850597104,[ 1.022   1.5184  1.2     1.7   ]
54,[61915 62189],[58372 60812],1509850597120,[ 0.9684  1.4803  1.2     1.7   ]
55,[61916 62190],[58372 60813],1509850597120,[ 0.9209  1.4495  1.2     1.7   ]
56,[61915 62187],[58373 60811],1509850597136,[ 0.8872  1.4217  1.2     1.7   ]
57,[61914 62185],[58373 60810],1509850597152,[ 0.8656  1.4017  1.2     1.7   ]
58,[61915 62188],[58372 60811],1509850597153,[ 0.8596  1.385   1.2     1.7   ]
59,[61914 62187],[58373 60812],1509850597168,[ 0.8581  1.3772  1.2     1.7   ]
60,[61914 62186],[58373 60812],1509850597169,[ 0.8581  1.3772  1.2     1.7   ]
61,[61915 62189],[58372 60813],1509850597184,[ 0.8702  1.3898  1.2     1.7   ]
62,[61916 62190],[58373 60812],1509850597200,[ 0.8872  1.4083  1.2     1.7   ]
63,[61914 62188],[58373 60811],1509850597201,[ 0.9039  1.4249  1.2     1.7   ]
64,[61915 62186],[58372 60811],1509850597216,[ 0.9209  1.4356  1.2     1.7   ]
65,[61914 62187],[58374 60812],1509850597232,[ 0.9359  1.4465  1.2     1.7   ]
66,[61914 62187],[58372 60811],1509850597233,[ 0.95    1.4554  1.2     1.7   ]
67,[61914 62186],[58373 60811],1509850597248,[ 0.9609  1.4647  1.2     1.7   ]
68,[61914 62188],[58373 60812],1509850597249,[ 0.9654  1.4724  1.2     1.7   ]
69,[61915 62189],[58371 60812],1509850597264,[ 0.967   1.4757  1.2     1.7   ]
70,[61914 62187],[58372 60812],1509850597280,[ 0.9667  1.4757  1.2     1.7   ]
71,[61915 62188],[58372 60811],1509850597281,[ 0.967   1.4757  1.2     1.7   ]
72,[61914 62188],[58373 60811],1509850597296,[ 0.967   1.4757  1.2     1.7   ]
73,[61915 62187],[58374 60812],1509850597312,[ 0.9638  1.4711  1.2     1.7   ]
74,[61915 62189],[58371 60812],1509850597313,[ 0.9579  1.4678  1.2     1.7   ]
75,[61915 62188],[58372 60812],1509850597328,[ 0.9546  1.4645  1.2     1.7   ]
76,[61915 62189],[58371 60813],1509850597329,[ 0.953   1.4629  1.2     1.7   ]
77,[61916 62187],[58372 60812],1509850597344,[ 0.9517  1.4601  1.2     1.7   ]
78,[61915 62189],[58371 60812],1509850597358,[ 0.9471  1.4587  1.2     1.7   ]
79,[61916 62189],[58372 60812],1509850597359,[ 0.9455  1.4586  1.2     1.7   ]
