,x,y,time,ard
0,[61170 61262],[58208 60601],1509856411339,['\xff0.0358' '0.6442' '-1.0126' '2.5000' '3.0000' '0.0000\n']
1,[61168 61262],[58208 60602],1509856411340,['0.0354' '0.6441' '-1.0127' '2.5000' '3.0000' '0.0000\n']
2,[61168 61262],[58207 60601],1509856411378,['0.0351' '0.6438' '-1.0127' '2.5000' '3.0000' '-1.7792\n']
3,[61168 61263],[58208 60601],1509856411379,['0.0348' '0.6437' '-1.0126' '2.5000' '3.0000' '-1.7792\n']
4,[61170 61262],[58207 60602],1509856411379,['0.0344' '0.6441' '-1.0125' '2.5000' '3.0000' '-1.7792\n']
5,[61170 61262],[58207 60602],1509856411380,['0.0338' '0.6438' '-1.0127' '2.5000' '3.0000' '-1.7792\n']
6,[61170 61263],[58207 60601],1509856411418,['0.0335' '0.6437' '-1.0126' '2.5000' '3.0000' '-1.7792\n']
7,[61169 61262],[58207 60601],1509856411419,['0.0335' '0.6442' '-1.0126' '2.5000' '3.0000' '-1.7792\n']
8,[61172 61263],[58207 60601],1509856411419,['0.0328' '0.6438' '-1.0125' '2.5000' '3.0000' '-1.7792\n']
9,[61169 61263],[58207 60602],1509856411420,['0.0325' '0.6437' '-1.0125' '2.5000' '3.0000' '-1.7792\n']
10,[61170 61263],[58208 60601],1509856411458,['0.0322' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
11,[61169 61262],[58208 60603],1509856411459,['0.0319' '0.6438' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
12,[61169 61263],[58207 60602],1509856411459,['0.0315' '0.6438' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
13,[61170 61262],[58208 60601],1509856411460,['0.0312' '0.6438' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
14,[61171 61263],[58208 60602],1509856411506,['0.0309' '0.6438' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
15,[61169 61262],[58207 60602],1509856411507,['0.0305' '0.6442' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
16,[61171 61262],[58208 60601],1509856411509,['0.0299' '0.6438' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
17,[61167 61262],[58208 60602],1509856411510,['0.0299' '0.6442' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
18,[61170 61263],[58208 60601],1509856411538,['0.0296' '0.6442' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
19,[61170 61263],[58208 60602],1509856411540,['0.0289' '0.6442' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
20,[61170 61262],[58207 60602],1509856411541,['0.0285' '0.6437' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
21,[61169 61263],[58208 60602],1509856411548,['0.0273' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
22,[61170 61263],[58208 60601],1509856411578,['0.0273' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
23,[61168 61263],[58206 60602],1509856411578,['0.0266' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
24,[61169 61263],[58208 60601],1509856411579,['0.0263' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
25,[61169 61262],[58208 60602],1509856411579,['0.0260' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
26,[61170 61263],[58208 60602],1509856411619,['0.0256' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
27,[61170 61262],[58208 60602],1509856411620,['0.0253' '0.6441' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
28,[61169 61263],[58207 60602],1509856411620,['0.0250' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
29,[61168 61262],[58207 60602],1509856411621,['0.0246' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
30,[61169 61263],[58208 60602],1509856411659,['0.0240' '0.6437' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
31,[61169 61263],[58209 60602],1509856411660,['0.0240' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
32,[61168 61262],[58209 60602],1509856411660,['0.0233' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
33,[61169 61262],[58207 60602],1509856411660,['0.0233' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
34,[61168 61263],[58209 60602],1509856411699,['0.0230' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
35,[61170 61262],[58207 60601],1509856411700,['0.0224' '0.6437' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
36,[61169 61263],[58208 60601],1509856411700,['0.0220' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
37,[61168 61262],[58208 60602],1509856411701,['0.0217' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
38,[61167 61263],[58209 60601],1509856411739,['0.0214' '0.6441' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
39,[61171 61262],[58207 60602],1509856411740,['0.0211' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
40,[61168 61263],[58209 60601],1509856411741,['0.0207' '0.6437' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
41,[61170 61262],[58209 60601],1509856411742,['0.0204' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
42,[61168 61264],[58209 60601],1509856411779,['0.0201' '0.6441' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
43,[61168 61262],[58208 60602],1509856411780,['0.0197' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
44,[61168 61262],[58208 60602],1509856411780,['0.0194' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
45,[61169 61263],[58208 60602],1509856411781,['0.0188' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
46,[61170 61263],[58209 60602],1509856411819,['0.0188' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
47,[61170 61263],[58208 60602],1509856411820,['0.0181' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
48,[61168 61263],[58209 60602],1509856411820,['0.0178' '0.6440' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
49,[61169 61263],[58209 60602],1509856411821,['0.0178' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
50,[61168 61263],[58208 60602],1509856411860,['0.0171' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
51,[61169 61263],[58208 60602],1509856411861,['0.0168' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
52,[61169 61261],[58208 60602],1509856411865,['0.0165' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
53,[61167 61262],[58209 60602],1509856411871,['0.0158' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
54,[61170 61262],[58207 60602],1509856411899,['0.0158' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
55,[61170 61263],[58207 60602],1509856411901,['0.0155' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
56,[61169 61263],[58208 60601],1509856411902,['0.0148' '0.6440' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
57,[61168 61263],[58208 60601],1509856411910,['0.0145' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
58,[61170 61263],[58207 60601],1509856411939,['0.0142' '0.6440' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
59,[61168 61263],[58209 60602],1509856411940,['0.0138' '0.6440' '-1.0126' '1.2000' '1.7000' '-1.7792\n']
60,[61168 61263],[58208 60603],1509856411940,['0.0138' '0.6440' '-1.0125' '1.2000' '1.7000' '-1.7792\n']
61,[61169 61262],[58207 60602],1509856411940,['0.0132' '0.6441' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
62,[61170 61262],[58207 60602],1509856411979,['0.0129' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
63,[61170 61262],[58207 60602],1509856411981,['0.0125' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
64,[61169 61262],[58208 60602],1509856411982,['0.0122' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
65,[61169 61263],[58209 60602],1509856411987,['0.0116' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
66,[61168 61263],[58209 60602],1509856412026,['0.0116' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
67,[61169 61263],[58207 60602],1509856412027,['0.0109' '0.6440' '-1.0127' '1.2000' '1.7000' '-1.7792\n']
