,x,y,time,ard
0,[61188 61117],[58129 60548],1509856667377,"[ '\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x000.0157'
 '0.6268' '2.1443' '1.2000' '1.7000' '1.3211\n']"
1,[61189 61118],[58129 60548],1509856667414,['0.0157' '0.6190' '-0.9971' '2.5000' '3.0000' '0.0000\n']
2,[61188 61118],[58128 60548],1509856667415,['0.0157' '0.6194' '-0.9973' '2.5000' '3.0000' '0.0000\n']
3,[61188 61117],[58127 60549],1509856667451,['0.0157' '0.6196' '-0.9971' '2.5000' '3.0000' '-1.7638\n']
4,[61187 61118],[58128 60548],1509856667452,['0.0157' '0.6201' '-0.9973' '2.5000' '3.0000' '-1.7638\n']
5,[61187 61118],[58127 60549],1509856667453,['0.0157' '0.6204' '-0.9971' '2.5000' '3.0000' '-1.7638\n']
6,[61187 61118],[58127 60549],1509856667453,['0.0157' '0.6207' '-0.9972' '2.5000' '3.0000' '-1.7638\n']
7,[61188 61119],[58128 60548],1509856667491,['0.0157' '0.6210' '-0.9972' '2.5000' '3.0000' '-1.7638\n']
8,[61188 61118],[58129 60548],1509856667492,['0.0157' '0.6213' '-0.9973' '2.5000' '3.0000' '-1.7638\n']
9,[61187 61119],[58127 60548],1509856667493,['0.0154' '0.6216' '-0.9971' '2.5000' '3.0000' '-1.7638\n']
10,[61189 61118],[58127 60548],1509856667493,['0.0157' '0.6223' '-0.9971' '2.5000' '3.0000' '-1.7638\n']
