,x,y,time,ard
0,[54281 54587 63947],[50627 59726 59791],1510687937121,['0.0678' '0.5825' '2.5000' '3.0000\n']
1,[54280 54588 63946],[50627 59726 59791],1510687937137,['0.0678' '0.5825' '2.5000' '3.0000\n']
2,[54296 54586 63939],[50626 59728 59788],1510687937153,['0.0680' '0.5825' '2.5000' '3.0000\n']
3,[54281 54586 63939],[50627 59727 59788],1510687937154,['0.0681' '0.5825' '2.5000' '3.0000\n']
4,[54281 54585 63946],[50626 59728 59791],1510687937169,['0.0678' '0.5825' '2.5000' '3.0000\n']
5,[54281 54586 63946],[50627 59725 59791],1510687937185,['0.0678' '0.5825' '2.5000' '3.0000\n']
6,[54281 54585 63938],[50627 59726 59789],1510687937185,['0.0678' '0.5825' '2.5000' '3.0000\n']
7,[54281 54587 63939],[50627 59728 59789],1510687937201,['0.0681' '0.5825' '2.5000' '3.0000\n']
8,[54281 54586 63946],[50626 59729 59791],1510687937202,['0.0678' '0.5825' '2.5000' '3.0000\n']
9,[54279 54581 63946],[50626 59723 59791],1510687937217,['0.0678' '0.5825' '2.5000' '3.0000\n']
10,[54281 54588 63946],[50627 59726 59792],1510687937233,['0.0678' '0.5825' '2.5000' '3.0000\n']
11,[54280 54586 63938],[50627 59727 59789],1510687937234,['0.0680' '0.5825' '2.5000' '3.0000\n']
12,[54295 54582 63938],[50625 59723 59789],1510687937249,['0.0678' '0.5825' '2.5000' '3.0000\n']
13,[54281 54586 63938],[50627 59727 59789],1510687937265,['0.0678' '0.5825' '2.5000' '3.0000\n']
14,[54281 54587 63946],[50627 59727 59790],1510687937265,['0.0678' '0.5822' '2.5000' '3.0000\n']
15,[54281 54587 63946],[50627 59727 59791],1510687937281,['0.0680' '0.5825' '2.5000' '3.0000\n']
16,[54280 54587 63946],[50626 59726 59791],1510687937281,['0.0677' '0.5824' '2.5000' '3.0000\n']
17,[54279 54587 63946],[50626 59727 59791],1510687937297,['0.0678' '0.5825' '2.5000' '3.0000\n']
18,[54280 54587 63938],[50625 59727 59789],1510687937313,['0.0678' '0.5825' '2.5000' '3.0000\n']
19,[54282 54586 63939],[50625 59727 59789],1510687937313,['0.0678' '0.5825' '2.5000' '3.0000\n']
20,[54281 54586 63938],[50627 59727 59789],1510687937329,['0.0677' '0.5824' '1.2000' '1.7000\n']
21,[54280 54582 63945],[50627 59723 59791],1510687937345,['0.0678' '0.5824' '1.2000' '1.7000\n']
22,[54281 54587 63938],[50627 59727 59789],1510687937345,['0.0678' '0.5825' '1.2000' '1.7000\n']
23,[54281 54586 63939],[50626 59726 59789],1510687937361,['0.0680' '0.5825' '1.2000' '1.7000\n']
24,[54281 54581 63946],[50626 59723 59791],1510687937361,['0.0678' '0.5825' '1.2000' '1.7000\n']
25,[54280 54587 63947],[50627 59725 59791],1510687937377,['0.0678' '0.5825' '1.2000' '1.7000\n']
26,[54281 54588 63946],[50627 59727 59791],1510687937393,['0.0678' '0.5825' '1.2000' '1.7000\n']
27,[54280 54581 63946],[50627 59723 59791],1510687937393,['0.0680' '0.5825' '1.2000' '1.7000\n']
28,[54271 54581 63946],[50627 59723 59790],1510687937409,['0.0678' '0.5825' '1.2000' '1.7000\n']
29,[54281 54588 63938],[50626 59728 59789],1510687937425,['0.0681' '0.5824' '1.2000' '1.7000\n']
30,[54280 54581 63939],[50626 59723 59789],1510687937425,['0.0678' '0.5825' '1.2000' '1.7000\n']
31,[54280 54586 63946],[50626 59726 59791],1510687937441,['0.0680' '0.5825' '1.2000' '1.7000\n']
32,[54281 54581 63939],[50627 59722 59789],1510687937441,['0.0681' '0.5825' '1.2000' '1.7000\n']
33,[54281 54588 63947],[50626 59726 59790],1510687937457,['0.0678' '0.5825' '1.2000' '1.7000\n']
34,[54272 54581 63938],[50627 59723 59789],1510687937473,['0.0678' '0.5825' '1.2000' '1.7000\n']
35,[54280 54587 63946],[50627 59727 59792],1510687937473,['0.0678' '0.5825' '1.2000' '1.7000\n']
