,x,y,time,ard
0,[63214 64175],[14429 43466],1510690000882,['1.1497' '1.7165' '2.5000' '3.0000\n']
1,[63187 64108],[14887 41500],1510690000898,['1.3133' '1.8821' '2.5000' '3.0000\n']
2,[63157 64012],[15350 40780],1510690000914,['1.4687' '2.0353' '2.5000' '3.0000\n']
3,[63119 63989],[15837 40970],1510690000916,['1.6252' '2.1935' '2.5000' '3.0000\n']
4,[63131 63974],[16404 41654],1510690000932,['1.7737' '2.3486' '2.5000' '3.0000\n']
5,[63157 63924],[17062 42612],1510690000948,['1.9056' '2.4911' '2.5000' '3.0000\n']
6,[63190 63830],[17807 43707],1510690000950,['2.0349' '2.6288' '2.5000' '3.0000\n']
7,[63229 63775],[18639 44847],1510690000964,['2.1776' '2.7812' '2.5000' '3.0000\n']
8,[63239 63765],[19551 45957],1510690000965,['2.3371' '2.9256' '2.5000' '3.0000\n']
9,[63248 63796],[20524 47021],1510690000980,['2.4983' '3.0897' '2.5000' '3.0000\n']
10,[63261 63831],[21589 48096],1510690000996,['2.5872' '-3.1152' '2.5000' '3.0000\n']
11,[63270 63815],[22754 49240],1510690000996,['2.5303' '3.0714' '2.5000' '3.0000\n']
12,[63264 63792],[23992 50427],1510690001012,['2.4383' '2.8950' '2.5000' '3.0000\n']
13,[63255 63764],[25299 51671],1510690001028,['2.4292' '2.8488' '2.5000' '3.0000\n']
14,[63242 63727],[26678 53002],1510690001029,['2.5318' '2.9333' '2.5000' '3.0000\n']
15,[63231 63689],[28147 54428],1510690001044,['2.6272' '3.0544' '2.5000' '3.0000\n']
16,[63209 63661],[29703 55932],1510690001045,['2.5963' '3.0743' '2.5000' '3.0000\n']
17,[63185 63641],[31351 57510],1510690001061,['2.4662' '2.9856' '2.5000' '3.0000\n']
18,[63156 63628],[33093 59162],1510690001074,['2.3801' '2.9254' '2.5000' '3.0000\n']
19,[63125 63687],[34909 59979],1510690001076,['2.4125' '2.9637' '2.5000' '3.0000\n']
20,[63168 63782],[36540 59984],1510690001090,['2.5149' '3.0667' '1.2000' '1.7000\n']
21,[63169 63986],[37861 60050],1510690001106,['2.5179' '3.0838' '1.2000' '1.7000\n']
22,[63091 64167],[38151 60057],1510690001107,['2.2954' '2.8320' '1.2000' '1.7000\n']
23,[62969 63985],[37692 59916],1510690001122,['1.9796' '2.4989' '1.2000' '1.7000\n']
24,[63173 63832],[37584 59705],1510690001123,['1.6402' '2.1767' '1.2000' '1.7000\n']
25,[63179 63662],[37328 59488],1510690001138,['1.3169' '1.8347' '1.2000' '1.7000\n']
26,[63259 63529],[36988 59336],1510690001154,['1.0773' '1.5771' '1.2000' '1.7000\n']
27,[63214 63507],[36884 59259],1510690001156,['0.9775' '1.4708' '1.2000' '1.7000\n']
28,[63183 63493],[36991 59325],1510690001170,['0.9867' '1.4773' '1.2000' '1.7000\n']
29,[63114 63410],[37199 59466],1510690001186,['1.0512' '1.5341' '1.2000' '1.7000\n']
30,[63149 63320],[37460 59699],1510690001186,['1.1205' '1.5950' '1.2000' '1.7000\n']
31,[63095 63295],[37794 59988],1510690001202,['1.1722' '1.6504' '1.2000' '1.7000\n']
32,[63065 63338],[37975 60059],1510690001202,['1.2033' '1.6888' '1.2000' '1.7000\n']
33,[63034 63330],[37690 59989],1510690001218,['1.2186' '1.7090' '1.2000' '1.7000\n']
34,[63215 63323],[37620 59924],1510690001234,['1.2216' '1.7149' '1.2000' '1.7000\n']
35,[63380 63322],[37674 59929],1510690001235,['1.2214' '1.7148' '1.2000' '1.7000\n']
36,[63300 63328],[37794 59979],1510690001250,['1.2200' '1.7121' '1.2000' '1.7000\n']
37,[63216 63325],[37808 60002],1510690001266,['1.2184' '1.7057' '1.2000' '1.7000\n']
38,[63137 63323],[37746 60007],1510690001266,['1.2154' '1.7025' '1.2000' '1.7000\n']
39,[63068 63323],[37723 60005],1510690001282,['1.2138' '1.6995' '1.2000' '1.7000\n']
40,[63175 63323],[37797 59999],1510690001282,['1.2125' '1.6995' '1.2000' '1.7000\n']
41,[63271 63323],[37806 59991],1510690001298,['1.2125' '1.6995' '1.2000' '1.7000\n']
42,[63293 63328],[37772 59978],1510690001314,['1.2108' '1.6995' '1.2000' '1.7000\n']
43,[63291 63327],[37763 59988],1510690001314,['1.2079' '1.6995' '1.2000' '1.7000\n']
44,[63191 63326],[37785 60004],1510690001330,['1.2046' '1.7012' '1.2000' '1.7000\n']
45,[63116 63322],[37746 60000],1510690001346,['1.2032' '1.7008' '1.2000' '1.7000\n']
46,[63072 63322],[37744 59997],1510690001348,['1.0466' '1.5523' '1.2000' '1.7000\n']
47,[63143 63323],[37780 59999],1510690001362,['0.6493' '1.2346' '1.2000' '1.7000\n']
48,[63231 63323],[37774 59994],1510690001363,['0.2013' '0.8879' '1.2000' '1.7000\n']
49,[63272 63326],[37766 59992],1510690001380,['-0.0137' '0.8464' '1.2000' '1.7000\n']
50,[63214 63326],[37767 59997],1510690001396,['0.1705' '0.9262' '2.5000' '3.0000\n']
51,[63162 63326],[37761 60000],1510690001397,['0.5390' '1.1947' '2.5000' '3.0000\n']
52,[63105 63325],[37751 59999],1510690001412,['0.8044' '1.3696' '2.5000' '3.0000\n']
53,[63107 63286],[37743 60038],1510690001427,['1.0711' '1.5660' '2.5000' '3.0000\n']
54,[63111 63176],[37367 60057],1510690001428,['1.2400' '1.7303' '2.5000' '3.0000\n']
55,[63133 63067],[36231 60004],1510690001442,['1.4026' '1.8898' '2.5000' '3.0000\n']
56,[63009 63244],[59991 35143],1510690001442,['1.5640' '2.0480' '2.5000' '3.0000\n']
57,[62958 63231],[59979 33846],1510690001458,['1.7129' '2.2012' '2.5000' '3.0000\n']
58,[62926 63258],[59971 32369],1510690001474,['1.8428' '2.3609' '2.5000' '3.0000\n']
59,[62914 63208],[59969 30779],1510690001476,['1.9675' '2.5035' '2.5000' '3.0000\n']
60,[62916 63163],[59968 29167],1510690001490,['2.0961' '2.6340' '2.5000' '3.0000\n']
61,[62938 63119],[59967 27601],1510690001506,['2.2404' '2.8105' '2.5000' '3.0000\n']
62,[62966 63128],[59972 26015],1510690001506,['2.4046' '2.9533' '2.5000' '3.0000\n']
63,[63010 63202],[59970 24328],1510690001522,['2.5519' '3.1097' '2.5000' '3.0000\n']
64,[63063 63227],[59963 22605],1510690001522,['2.5994' '-3.1398' '2.5000' '3.0000\n']
65,[63177 63125],[20946 59852],1510690001538,['2.5012' '3.0144' '2.5000' '3.0000\n']
66,[63167 63281],[19495 58815],1510690001554,['2.4125' '2.8763' '2.5000' '3.0000\n']
67,[63166 63515],[18228 56651],1510690001554,['2.4245' '2.8920' '2.5000' '3.0000\n']
68,[63181 63624],[17072 54339],1510690001570,['2.5366' '3.0056' '2.5000' '3.0000\n']
69,[63197 63503],[15908 53269],1510690001586,['2.6131' '3.0972' '2.5000' '3.0000\n']
70,[63229 63226],[14768 53311],1510690001586,['2.5595' '3.0514' '2.5000' '3.0000\n']
71,[62951 63222],[53163 13749],1510690001602,['2.4479' '2.9255' '2.5000' '3.0000\n']
72,[62886 63163],[51995 12929],1510690001603,['2.4018' '2.8964' '2.5000' '3.0000\n']
73,[63001 63167],[50232 12255],1510690001618,['2.4661' '2.9778' '2.5000' '3.0000\n']
74,[63121 63106],[11628 49108],1510690001634,['2.5656' '3.0868' '2.5000' '3.0000\n']
75,[63053 63128],[10996 49190],1510690001634,['2.5764' '3.0899' '1.2000' '1.7000\n']
76,[63053 63054],[10456 49658],1510690001650,['2.4384' '2.9240' '1.2000' '1.7000\n']
77,[63080 63025],[10088 49417],1510690001666,['2.1497' '2.6276' '1.2000' '1.7000\n']
78,[63170 63191],[ 9904 47986],1510690001666,['1.8045' '2.3242' '1.2000' '1.7000\n']
79,[63206 63557],[ 9916 45052],1510690001682,['1.4563' '1.9865' '1.2000' '1.7000\n']
80,[63235 63886],[10046 41550],1510690001683,['1.1634' '1.6920' '1.2000' '1.7000\n']
81,[63252 64068],[10190 38548],1510690001698,['0.9886' '1.5261' '1.2000' '1.7000\n']
82,[63232 64141],[10382 36703],1510690001714,['0.9546' '1.4911' '1.2000' '1.7000\n']
83,[63188 64162],[10601 36017],1510690001714,['1.0037' '1.5264' '1.2000' '1.7000\n']
84,[63116 64147],[10861 36112],1510690001730,['1.0773' '1.5846' '1.2000' '1.7000\n']
85,[63042 64077],[11202 36650],1510690001746,['1.1434' '1.6368' '1.2000' '1.7000\n']
86,[63109 63974],[11626 37423],1510690001747,['1.1925' '1.6751' '1.2000' '1.7000\n']
87,[63149 63840],[12142 38325],1510690001762,['1.2200' '1.6980' '1.2000' '1.7000\n']
88,[63171 63742],[12749 39234],1510690001763,['1.2292' '1.7054' '1.2000' '1.7000\n']
89,[63170 63727],[13451 40104],1510690001778,['1.2292' '1.7088' '1.2000' '1.7000\n']
90,[63182 63737],[14254 40937],1510690001794,['1.2213' '1.7088' '1.2000' '1.7000\n']
91,[63193 63784],[15128 41768],1510690001795,['1.2154' '1.7090' '1.2000' '1.7000\n']
92,[63207 63820],[16061 42636],1510690001810,['1.2108' '1.7057' '1.2000' '1.7000\n']
93,[63220 63859],[17076 43571],1510690001826,['1.2062' '1.7040' '1.2000' '1.7000\n']
94,[63224 63884],[18180 44595],1510690001827,['1.2017' '1.7025' '1.2000' '1.7000\n']
95,[63201 63924],[19376 45709],1510690001842,['1.1984' '1.7008' '1.2000' '1.7000\n']
96,[63191 63925],[20660 46945],1510690001843,['1.1984' '1.7008' '1.2000' '1.7000\n']
97,[63184 63933],[22025 48263],1510690001858,['1.1984' '1.7012' '1.2000' '1.7000\n']
98,[63169 63925],[23481 49681],1510690001874,['1.1987' '1.7012' '1.2000' '1.7000\n']
99,[63151 63912],[25025 51181],1510690001874,['1.1418' '1.6442' '1.2000' '1.7000\n']
100,[63135 63898],[26664 52768],1510690001890,['0.7367' '1.3069' '1.2000' '1.7000\n']
101,[63130 63880],[28393 54429],1510690001907,['0.3181' '0.9754' '1.2000' '1.7000\n']
102,[63143 63863],[30211 56162],1510690001908,['-0.0856' '0.7128' '1.2000' '1.7000\n']
103,[63155 63833],[32123 57978],1510690001924,['0.0710' '0.8663' '1.2000' '1.7000\n']
104,[63148 63796],[34109 59878],1510690001925,['0.3747' '1.0749' '1.2000' '1.7000\n']
105,[63085 63888],[36013 59949],1510690001939,['0.6094' '1.2345' '2.5000' '3.0000\n']
106,[63174 64117],[37544 60059],1510690001955,['0.8564' '1.4125' '2.5000' '3.0000\n']
107,[63097 64246],[38164 60095],1510690001957,['1.0193' '1.5490' '2.5000' '3.0000\n']
108,[63070 64186],[37716 59926],1510690001971,['1.1880' '1.7009' '2.5000' '3.0000\n']
109,[62993 64616],[37455 59921],1510690001987,['1.3365' '1.8545' '2.5000' '3.0000\n']
110,[63042 64645],[36652 60007],1510690001988,['1.4854' '2.0006' '2.5000' '3.0000\n']
111,[63078 64478],[35172 59947],1510690002003,['1.6281' '2.1384' '2.5000' '3.0000\n']
112,[63292 64452],[34195 59932],1510690002004,['1.7633' '2.2686' '2.5000' '3.0000\n']
113,[63328 64437],[33119 59932],1510690002019,['1.8814' '2.4176' '2.5000' '3.0000\n']
114,[63263 64420],[31799 59917],1510690002036,['2.0041' '2.5512' '2.5000' '3.0000\n']
115,[63191 64414],[30122 59926],1510690002037,['2.1347' '2.6390' '2.5000' '3.0000\n']
116,[63075 64432],[28567 59929],1510690002051,['2.2770' '2.8488' '2.5000' '3.0000\n']
117,[63172 64452],[27253 59929],1510690002067,['2.4321' '2.9915' '2.5000' '3.0000\n']
118,[63221 64490],[25890 59925],1510690002068,['2.5688' '3.1296' '2.5000' '3.0000\n']
119,[63245 64525],[24310 59926],1510690002083,['2.5842' '3.1251' '2.5000' '3.0000\n']
120,[63273 64566],[22581 59924],1510690002085,['2.4763' '2.9837' '2.5000' '3.0000\n']
121,[63167 64508],[21018 59820],1510690002100,['2.4106' '2.8657' '2.5000' '3.0000\n']
122,[63109 64024],[19773 58954],1510690002114,['2.4567' '2.9054' '2.5000' '3.0000\n']
123,[63203 63323],[18697 57085],1510690002116,['2.5733' '3.0236' '2.5000' '3.0000\n']
124,[62559 63120],[55061 17627],1510690002130,['2.6177' '3.0868' '2.5000' '3.0000\n']
125,[61943 63214],[54078 16601],1510690002145,['2.5258' '3.0282' '2.5000' '3.0000\n']
126,[61638 63136],[54093 15607],1510690002146,['2.4137' '2.9255' '2.5000' '3.0000\n']
127,[61800 63092],[54010 14793],1510690002162,['2.3955' '2.9193' '2.5000' '3.0000\n']
128,[62453 63031],[53036 14132],1510690002162,['2.4950' '3.0039' '2.5000' '3.0000\n']
129,[63027 63318],[13525 51544],1510690002178,['2.5856' '3.0900' '2.5000' '3.0000\n']
130,[63078 63910],[13011 50599],1510690002194,['2.5564' '3.0650' '1.2000' '1.7000\n']
131,[63206 64175],[12559 50733],1510690002196,['2.4125' '2.8963' '1.2000' '1.7000\n']
132,[63311 64119],[12246 51238],1510690002211,['2.1298' '2.6004' '1.2000' '1.7000\n']
133,[63321 64032],[12122 50743],1510690002226,['1.7941' '2.2978' '1.2000' '1.7000\n']
134,[63175 64148],[12133 48470],1510690002227,['1.4488' '1.9603' '1.2000' '1.7000\n']
135,[63095 64244],[12213 45226],1510690002242,['1.1555' '1.6782' '1.2000' '1.7000\n']
136,[63032 64186],[12467 42022],1510690002242,['0.9853' '1.5247' '1.2000' '1.7000\n']
137,[63078 63976],[12835 39748],1510690002258,['0.9532' '1.4969' '1.2000' '1.7000\n']
138,[63151 63772],[13204 38709],1510690002274,['1.0069' '1.5309' '1.2000' '1.7000\n']
139,[63183 63691],[13552 38668],1510690002274,['1.0819' '1.5860' '1.2000' '1.7000\n']
140,[63226 63714],[13919 39199],1510690002290,['1.1480' '1.6350' '1.2000' '1.7000\n']
141,[63249 63779],[14370 39999],1510690002305,['1.1955' '1.6766' '1.2000' '1.7000\n']
142,[63210 63809],[14923 40941],1510690002306,['1.2170' '1.7040' '1.2000' '1.7000\n']
143,[63183 63797],[15598 41904],1510690002321,['1.2246' '1.7150' '1.2000' '1.7000\n']
144,[63146 63776],[16372 42851],1510690002322,['1.2246' '1.7164' '1.2000' '1.7000\n']
145,[63119 63751],[17247 43782],1510690002338,['1.2200' '1.7136' '1.2000' '1.7000\n']
146,[63075 63717],[18213 44713],1510690002355,['1.2138' '1.7070' '1.2000' '1.7000\n']
147,[63067 63672],[19229 45680],1510690002357,['1.2092' '1.7041' '1.2000' '1.7000\n']
148,[63090 63665],[20288 46693],1510690002371,['1.2063' '1.7025' '1.2000' '1.7000\n']
149,[63123 63677],[21437 47772],1510690002387,['1.2017' '1.7025' '1.2000' '1.7000\n']
150,[63157 63693],[22682 48948],1510690002388,['1.1984' '1.7025' '1.2000' '1.7000\n']
151,[63193 63713],[24016 50235],1510690002403,['1.1987' '1.7025' '1.2000' '1.7000\n']
152,[63225 63759],[25443 51604],1510690002404,['1.1987' '1.7025' '1.2000' '1.7000\n']
153,[63213 63807],[26965 53071],1510690002419,['1.1984' '1.7028' '1.2000' '1.7000\n']
154,[63227 63854],[28568 54615],1510690002436,['0.9317' '1.4493' '1.2000' '1.7000\n']
155,[63236 63873],[30255 56226],1510690002437,['0.5573' '1.1407' '1.2000' '1.7000\n']
156,[63234 63875],[32030 57910],1510690002451,['0.1185' '0.8280' '1.2000' '1.7000\n']
157,[63202 63879],[33893 59673],1510690002467,['0.0399' '0.8421' '1.2000' '1.7000\n']
158,[63163 63938],[35742 59955],1510690002468,['0.2837' '0.9691' '1.2000' '1.7000\n']
159,[63179 64135],[37265 60039],1510690002484,['0.5573' '1.1762' '1.2000' '1.7000\n']
160,[63077 64318],[38115 60079],1510690002485,['0.7291' '1.2760' '2.5000' '3.0000\n']
161,[63033 64306],[37911 59988],1510690002500,['0.9317' '1.4341' '2.5000' '3.0000\n']
162,[63028 64086],[37583 59906],1510690002515,['1.0482' '1.5462' '2.5000' '3.0000\n']
163,[63071 64089],[37258 60038],1510690002516,['1.1971' '1.6936' '2.5000' '3.0000\n']
164,[63059 63975],[35992 59956],1510690002531,['1.3460' '1.8360' '2.5000' '3.0000\n']
165,[63199 63910],[34871 59997],1510690002547,['1.4900' '1.9728' '2.5000' '3.0000\n']
166,[63326 63867],[33906 59963],1510690002548,['1.6248' '2.1014' '2.5000' '3.0000\n']
167,[63255 63838],[32729 59945],1510690002563,['1.7420' '2.2274' '2.5000' '3.0000\n']
168,[63262 63837],[31177 59949],1510690002564,['1.8582' '2.3655' '2.5000' '3.0000\n']
169,[63192 63842],[29577 59963],1510690002580,['1.9766' '2.4927' '2.5000' '3.0000\n']
170,[63123 63854],[28208 59954],1510690002595,['2.1069' '2.6292' '2.5000' '3.0000\n']
171,[63112 63873],[26912 59945],1510690002596,['2.2358' '2.7767' '2.5000' '3.0000\n']
172,[63145 63907],[25453 59944],1510690002611,['2.3709' '2.9162' '2.5000' '3.0000\n']
173,[63135 63952],[23751 59949],1510690002627,['2.5120' '3.0668' '2.5000' '3.0000\n']
174,[63065 63995],[22093 59937],1510690002628,['2.5906' '3.1404' '2.5000' '3.0000\n']
175,[63239 63945],[20706 59722],1510690002643,['2.5352' '3.0530' '2.5000' '3.0000\n']
176,[63264 63647],[19522 58534],1510690002644,['2.4366' '2.9058' '2.5000' '3.0000\n']
177,[63314 63322],[18461 56492],1510690002659,['2.4184' '2.8780' '2.5000' '3.0000\n']
178,[63000 63260],[54670 17345],1510690002675,['2.4999' '2.9775' '2.5000' '3.0000\n']
179,[62696 63164],[54079 16315],1510690002676,['2.5950' '3.0776' '2.5000' '3.0000\n']
180,[62464 63061],[54256 15430],1510690002691,['2.5777' '3.0694' '2.5000' '3.0000\n']
181,[62417 63068],[53940 14700],1510690002707,['2.4734' '2.9624' '2.5000' '3.0000\n']
182,[62649 63067],[52758 14088],1510690002708,['2.4138' '2.9051' '2.5000' '3.0000\n']
183,[63061 62971],[13563 51327],1510690002723,['2.4570' '2.9578' '2.5000' '3.0000\n']
184,[63104 63203],[13115 50774],1510690002724,['2.5489' '3.0593' '2.5000' '3.0000\n']
185,[63166 63329],[12756 51206],1510690002739,['2.5763' '3.0866' '1.2000' '1.7000\n']
186,[63228 63352],[12461 51643],1510690002755,['2.4615' '2.9654' '1.2000' '1.7000\n']
187,[63281 63387],[12254 51257],1510690002756,['2.1867' '2.6427' '1.2000' '1.7000\n']
188,[63286 63545],[12212 49812],1510690002771,['1.8506' '2.3103' '1.2000' '1.7000\n']
189,[63190 63862],[12390 46968],1510690002788,['1.5057' '1.9986' '1.2000' '1.7000\n']
190,[63140 64103],[12704 43683],1510690002789,['1.1971' '1.6979' '1.2000' '1.7000\n']
191,[63092 64118],[13099 41027],1510690002801,['1.0024' '1.5248' '1.2000' '1.7000\n']
192,[63036 64034],[13530 39569],1510690002802,['0.9533' '1.4894' '1.2000' '1.7000\n']
193,[63074 63957],[13972 39242],1510690002817,['0.9886' '1.5261' '1.2000' '1.7000\n']
