,x,y,time,ard
0,[63185 63185],[37742 60001],1510693513896,['\x000.6256' '2.0822' '2.5000' '3.0000' '4.0000\n']
1,[63185 63186],[37743 60002],1510693513898,['0.0204' '0.6256' '2.0822' '2.5000' '3.0000' '4.0000\n']
2,[63185 63187],[37743 60001],1510693513920,['0.0201' '0.6254' '2.0822' '2.5000' '3.0000' '3.0000\n']
3,[63184 63185],[37743 60001],1510693513936,['0.0201' '0.6257' '2.0822' '2.5000' '3.0000' '3.0000\n']
4,[63185 63184],[37743 60002],1510693513974,['0.0204' '0.6257' '2.0821' '2.5000' '3.0000' '3.0000\n']
5,[63185 63183],[37742 60001],1510693513975,['0.0204' '0.6259' '2.0823' '2.5000' '3.0000' '3.0000\n']
6,[63184 63184],[37742 60002],1510693513975,['0.0201' '0.6254' '2.0822' '2.5000' '3.0000' '3.0000\n']
7,[63185 63185],[37743 60002],1510693513976,['0.0201' '0.6257' '2.0823' '2.5000' '3.0000' '3.0000\n']
8,[63185 63185],[37743 60002],1510693514015,['0.0204' '0.6256' '2.0823' '2.5000' '3.0000' '3.0000\n']
9,[63185 63186],[37743 60002],1510693514016,['0.0201' '0.6254' '2.0822' '2.5000' '3.0000' '3.0000\n']
10,[63185 63186],[37743 60001],1510693514016,['0.0204' '0.6257' '2.0820' '2.5000' '3.0000' '3.0000\n']
11,[63186 63189],[37743 60001],1510693514017,['0.0201' '0.6257' '2.0820' '2.5000' '3.0000' '3.0000\n']
12,[63185 63185],[37742 60000],1510693514055,['0.0201' '0.6254' '2.0822' '2.5000' '3.0000' '3.0000\n']
13,[63185 63185],[37743 60002],1510693514057,['0.0201' '0.6257' '2.0822' '2.5000' '3.0000' '3.0000\n']
14,[63185 63187],[37743 60001],1510693514058,['0.0204' '0.6256' '2.0820' '2.5000' '3.0000' '3.0000\n']
15,[63185 63185],[37743 60000],1510693514065,['0.0201' '0.6253' '2.0820' '2.5000' '3.0000' '3.0000\n']
16,[63185 63184],[37743 60001],1510693514102,['0.0204' '0.6253' '2.0819' '2.5000' '3.0000' '3.0000\n']
17,[63185 63186],[37742 60002],1510693514110,['0.0201' '0.6257' '2.0822' '2.5000' '3.0000' '3.0000\n']
18,[63186 63186],[37743 60001],1510693514117,['0.0204' '0.6249' '2.0822' '2.5000' '3.0000' '3.0000\n']
19,[63185 63184],[37743 60002],1510693514118,['0.0204' '0.6250' '2.0823' '2.5000' '3.0000' '3.0000\n']
20,[63185 63186],[37742 60002],1510693514134,['0.0201' '0.6253' '2.0818' '2.5000' '3.0000' '3.0000\n']
21,[63184 63187],[37743 60001],1510693514135,['0.0201' '0.6249' '2.0821' '2.5000' '3.0000' '3.0000\n']
22,[63185 63187],[37742 60000],1510693514135,['0.0201' '0.6250' '2.0820' '1.2000' '1.7000' '3.0000\n']
23,[63185 63186],[37742 60001],1510693514136,['0.0201' '0.6249' '2.0822' '1.2000' '1.7000' '3.0000\n']
24,[63185 63188],[37742 60001],1510693514174,['0.0204' '0.6256' '2.0822' '1.2000' '1.7000' '3.0000\n']
25,[63185 63186],[37742 60001],1510693514175,['0.0201' '0.6252' '2.0822' '1.2000' '1.7000' '3.0000\n']
26,[63185 63184],[37742 60001],1510693514175,['0.0204' '0.6255' '2.0822' '1.2000' '1.7000' '3.0000\n']
27,[63184 63185],[37743 60001],1510693514176,['0.0201' '0.6254' '2.0823' '1.2000' '1.7000' '3.0000\n']
28,[63185 63186],[37743 60001],1510693514215,['0.0201' '0.6252' '2.0822' '1.2000' '1.7000' '3.0000\n']
29,[63185 63186],[37742 60000],1510693514216,['0.0204' '0.6256' '2.0822' '1.2000' '1.7000' '3.0000\n']
30,[63185 63185],[37742 60001],1510693514218,['0.0201' '0.6256' '2.0822' '1.2000' '1.7000' '3.0000\n']
31,[63185 63186],[37743 60002],1510693514222,['0.0201' '0.6258' '2.0821' '1.2000' '1.7000' '3.0000\n']
32,[63185 63185],[37742 60002],1510693514254,['0.0204' '0.6256' '2.0823' '1.2000' '1.7000' '3.0000\n']
33,[63185 63187],[37742 60000],1510693514255,['0.0204' '0.6256' '2.0823' '1.2000' '1.7000' '3.0000\n']
34,[63184 63188],[37742 60001],1510693514255,['0.0204' '0.6255' '2.0822' '1.2000' '1.7000' '3.0000\n']
35,[63185 63186],[37743 60002],1510693514256,['0.0204' '0.6256' '2.0823' '1.2000' '1.7000' '3.0000\n']
36,[63184 63185],[37743 60002],1510693514303,['0.0201' '0.6256' '2.0823' '1.2000' '1.7000' '3.0000\n']
37,[63185 63183],[37742 60003],1510693514304,['0.0204' '0.6255' '2.0822' '1.2000' '1.7000' '3.0000\n']
38,[63185 63184],[37743 60002],1510693514313,['0.0204' '0.6254' '2.0823' '1.2000' '1.7000' '3.0000\n']
