,ard,time
0,"1.4715,1.9959,0
",0.99599981308
1,"1.5992,2.1216,0
",1.00599980354
2,"1.7250,2.2413,0
",1.01599979401
3,"1.8415,2.3670,0
",1.02600002289
4,"1.9599,2.4927,0
",1.03600001335
5,"2.0854,2.6232,0
",1.04600000381
6,"2.2094,2.7646,0
",1.05599999428
7,"2.3446,2.9132,0
",1.06699991226
8,"2.4828,3.0406,0
",1.07699990273
9,"2.5747,3.1359,0
",1.08699989319
10,"2.5478,3.0946,0
",1.09599995613
11,"2.4599,2.9703,0
",1.10599994659
12,"2.4247,2.9011,0
",1.11599993706
13,"2.4754,2.9346,0
",1.12599992752
14,"2.5580,3.0177,0
",1.13599991798
15,"2.5904,3.0439,0
",1.14699983597
16,"2.5286,3.0144,0
",1.15699982643
17,"2.4595,2.9640,0
",1.16699981689
18,"2.4399,2.9536,0
",1.17599987984
19,"2.4767,2.9994,0
",1.1859998703
20,"2.5193,3.0485,0
",1.19599986076
21,"2.4615,3.0082,0
",1.20599985123
22,"2.2069,2.7293,0
",1.21599984169
23,"1.8985,2.4227,0
",1.22599983215
24,"1.6067,2.1445,0
",1.23599982262
25,"1.4106,1.9589,0
",1.24599981308
26,"1.3013,1.8882,0
",1.25599980354
27,"1.2860,1.8791,0
",1.26599979401
28,"1.3106,1.8794,0
",1.27600002289
29,"1.3259,1.8732,0
",1.28600001335
30,"1.3276,1.8454,0
",1.29699993134
31,"1.3092,1.8120,0
",1.3069999218
32,"1.2814,1.7826,0
",1.31699991226
33,"1.2569,1.7607,0
",1.32699990273
34,"1.2399,1.7470,0
",1.33699989319
35,"1.2356,1.7412,0
",1.34599995613
36,"1.2340,1.7333,0
",1.35599994659
37,"1.2340,1.7287,0
",1.36599993706
38,"1.2323,1.7258,0
",1.37599992752
39,"1.2294,1.7196,0
",1.38599991798
40,"1.2264,1.7159,0
",1.39699983597
41,"1.2232,1.7152,0
",1.40699982643
42,"1.1862,1.6399,0
",1.41699981689
43,"0.8259,1.3269,0
",1.42599987984
44,"0.4620,1.0093,0
",1.4359998703
