,x,y,time
0,[66102 75686 76813 86160],[42622 34732 68612 42899],1509232337127
1,[66099 75687 76813 86165],[42622 34726 68612 42903],1509232337137
2,[66099 75689 76813 86166],[42622 34725 68613 42903],1509232337147
3,[66102 75690 76812 86164],[42622 34728 68613 42902],1509232337157
4,[66103 75689 76811 86163],[42622 34731 68613 42902],1509232337167
5,[66102 75688 76815 86160],[42620 34732 68612 42900],1509232337177
6,[66105 75687 76814 86160],[42621 34732 68613 42899],1509232337187
7,[66103 75688 76813 86158],[42621 34735 68613 42899],1509232337197
8,[66105 75687 76812 86156],[42621 34735 68613 42899],1509232337207
9,[66105 75688 76813 86159],[42621 34733 68612 42898],1509232337217
10,[66104 75688 76812 86160],[42619 34731 68613 42900],1509232337227
11,[66106 75689 76814 86161],[42620 34734 68612 42900],1509232337238
12,[66104 75688 76814 86159],[42620 34733 68611 42900],1509232337247
13,[66104 75688 76815 86159],[42621 34732 68612 42899],1509232337257
14,[66103 75688 76812 86160],[42621 34732 68613 42901],1509232337267
15,[66105 75688 76812 86159],[42620 34735 68615 42900],1509232337277
16,[66107 75688 76812 86159],[42621 34735 68614 42900],1509232337287
17,[66104 75688 76817 86159],[42621 34733 68611 42899],1509232337297
18,[66103 75688 76814 86159],[42622 34733 68612 42899],1509232337307
19,[66104 75688 76815 86160],[42621 34734 68613 42900],1509232337317
20,[66104 75688 76812 86160],[42621 34733 68613 42900],1509232337327
21,[66105 75689 76814 86161],[42620 34732 68613 42900],1509232337337
22,[66104 75689 76815 86159],[42621 34734 68612 42900],1509232337347
23,[66105 75689 76813 86159],[42621 34733 68614 42900],1509232337357
24,[66104 75686 76813 86158],[42620 34733 68613 42899],1509232337367
25,[66104 75688 76814 86159],[42621 34733 68612 42899],1509232337377
26,[66106 75688 76816 86159],[42619 34734 68611 42899],1509232337387
27,[66106 75689 76813 86162],[42619 34733 68613 42902],1509232337397
28,[66106 75689 76812 86160],[42620 34732 68614 42900],1509232337407
29,[66104 75688 76814 86160],[42620 34733 68613 42899],1509232337417
30,[66102 75688 76815 86159],[42622 34733 68612 42900],1509232337427
31,[66103 75687 76814 86159],[42621 34733 68612 42899],1509232337437
32,[66102 75687 76817 86159],[42622 34732 68612 42899],1509232337447
33,[66103 75687 76815 86159],[42621 34731 68612 42898],1509232337457
34,[66105 75689 76812 86160],[42621 34732 68613 42899],1509232337467
35,[66105 75691 76811 86161],[42620 34732 68614 42900],1509232337477
36,[66104 75689 76812 86162],[42621 34732 68615 42900],1509232337487
37,[66103 75687 76815 86161],[42622 34732 68611 42900],1509232337498
38,[66103 75686 76812 86159],[42621 34733 68613 42899],1509232337507
39,[66104 75688 76813 86158],[42621 34733 68614 42899],1509232337518
40,[66104 75688 76812 86159],[42621 34733 68614 42899],1509232337528
41,[66104 75688 76813 86160],[42621 34733 68613 42900],1509232337538
42,[66105 75689 76812 86160],[42620 34733 68614 42900],1509232337547
43,[66105 75689 76814 86161],[42620 34733 68612 42899],1509232337557
44,[66104 75690 76814 86159],[42621 34733 68614 42900],1509232337567
45,[66106 75687 76814 86158],[42620 34733 68613 42899],1509232337577
46,[66104 75686 76812 86158],[42621 34733 68614 42898],1509232337587
47,[66104 75687 76815 86158],[42620 34734 68613 42898],1509232337597
48,[66106 75688 76813 86160],[42621 34733 68612 42899],1509232337608
49,[66104 75689 76813 86159],[42620 34733 68613 42900],1509232337617
50,[66110 75687 76811 86160],[42616 34733 68610 42896],1509232337627
51,[66108 75691 76813 86160],[42620 34735 68613 42900],1509232337637
52,[66106 75687 76814 86158],[42620 34735 68613 42898],1509232337647
53,[66106 75686 76812 86156],[42621 34735 68614 42898],1509232337657
54,[66105 75687 76815 86158],[42620 34734 68612 42898],1509232337667
55,[66106 75688 76812 86160],[42620 34733 68613 42900],1509232337677
56,[66107 75687 76816 86160],[42618 34733 68610 42899],1509232337687
57,[66107 75688 76814 86160],[42620 34733 68614 42899],1509232337697
