,x,y,time
0,[69354 74770 76561 82696],[36484 64056 10587 36997],1509232252582
1,[69037 75235 76429 83161],[35953 63347 10229 36314],1509232252586
2,[67253 76096 76416 85338],[34166 60783 10150 34506],1509232252587
3,[65334 76440 77087 87790],[31128 10292 56536 31322],1509232252588
4,[64429 76521 77866 89075],[27460 10525 52037 27346],1509232252589
5,[64897 76602 78303 88856],[24026 10822 48615 23479],1509232252592
6,[65995 76630 78475 87746],[21761 11156 46817 20874],1509232252601
7,[66513 76573 78424 86948],[21172 11537 46454 20101],1509232252611
8,[66330 76426 78156 86940],[21712 12001 46979 20713],1509232252621
9,[65955 76381 77819 87336],[22675 12545 47920 22032],1509232252631
10,[65671 76351 77444 87784],[23775 13220 49102 23612],1509232252641
11,[65494 76364 77173 88104],[24943 14027 50321 25179],1509232252651
12,[65360 76353 76968 88285],[26081 14927 51507 26588],1509232252661
13,[65277 76342 76888 88360],[27175 15902 52621 27830],1509232252671
14,[65247 76316 76867 88357],[28261 17003 53716 28944],1509232252681
15,[65245 76299 76868 88315],[29383 18246 54854 30060],1509232252691
16,[65206 76280 76876 88256],[30617 19615 56088 31273],1509232252701
17,[65191 76260 76891 88196],[31998 21091 57481 32627],1509232252712
18,[65161 76230 76896 88157],[33532 22679 59037 34162],1509232252723
19,[65110 76128 76906 88095],[35231 24388 60708 35843],1509232252731
20,[65017 76019 76907 88012],[37074 26225 62483 37638],1509232252741
21,[64912 75966 76857 87928],[38982 28176 64360 39550],1509232252751
22,[64832 75905 76751 87842],[40960 30260 66356 41593],1509232252761
23,[64760 75838 76609 87761],[43032 32476 68470 43765],1509232252771
24,[66052 75721 76668 86223],[42655 34645 68642 43020],1509232252781
25,[68031 75680 76839 83602],[42173 36473 68789 41906],1509232252791
26,[75583 76942],[37540 68815],1509232252801
27,[75557 76987],[37735 68811],1509232252811
28,[75529 76885],[37412 68720],1509232252821
29,[69113 75606 76840 82019],[41763 36984 68722 41225],1509232252831
30,[67794 75644 76775 83771],[42066 36131 68650 41804],1509232252841
31,[66820 75663 76743 85294],[42358 35292 68633 42430],1509232252851
32,[66261 75801 76698 86268],[42518 34646 68603 42908],1509232252861
33,[65799 75868 76676 86805],[42689 34184 68582 43236],1509232252871
34,[65473 75874 76658 87114],[42814 33817 68554 43422],1509232252881
35,[65223 75874 76650 87356],[42898 33443 68540 43564],1509232252891
36,[65047 75868 76645 87534],[42950 33111 68538 43667],1509232252901
37,[64947 75843 76641 87612],[42976 32920 68542 43709],1509232252911
38,[64930 75814 76639 87597],[42987 32927 68544 43714],1509232252922
39,[64992 75796 76643 87522],[42985 33095 68551 43699],1509232252931
40,[65099 75827 76641 87373],[42956 33347 68561 43622],1509232252941
41,[65249 75819 76649 87192],[42908 33625 68571 43513],1509232252951
42,[65422 75805 76659 86986],[42837 33875 68584 43385],1509232252961
43,[65633 75784 76673 86750],[42756 34124 68601 43242],1509232252972
44,[65908 75735 76687 86489],[42654 34386 68618 43080],1509232252981
45,[66195 75732 76699 86195],[42556 34697 68633 42915],1509232252991
46,[66449 75734 76709 85871],[42476 34987 68640 42748],1509232253001
47,[66633 75715 76712 85610],[42413 35171 68647 42613],1509232253011
48,[66731 75686 76720 85453],[42377 35238 68649 42531],1509232253022
49,[66778 75687 76719 85441],[42359 35245 68654 42519],1509232253031
50,[66793 75717 76718 85494],[42353 35242 68649 42540],1509232253041
51,[66726 75737 76715 85570],[42371 35199 68641 42578],1509232253051
52,[66596 75737 76708 85697],[42414 35093 68639 42644],1509232253062
53,[66463 75718 76706 85852],[42456 34955 68632 42722],1509232253071
54,[66356 75728 76701 85995],[42491 34844 68627 42793],1509232253081
55,[66264 75743 76694 86117],[42525 34769 68625 42865],1509232253091
56,[66180 75752 76694 86220],[42555 34685 68619 42920],1509232253101
57,[66101 75753 76693 86301],[42580 34596 68615 42963],1509232253111
58,[66040 75743 76691 86354],[42602 34533 68616 42995],1509232253121
59,[66024 75746 76689 86385],[42610 34516 68616 43014],1509232253131
60,[66022 75753 76687 86397],[42612 34520 68616 43022],1509232253142
61,[66026 75753 76690 86389],[42611 34521 68616 43017],1509232253151
62,[66032 75744 76692 86373],[42609 34527 68617 43008],1509232253161
63,[66053 75745 76689 86348],[42602 34553 68620 42995],1509232253171
64,[66087 75749 76691 86320],[42592 34590 68621 42978],1509232253181
65,[66104 75743 76695 86284],[42584 34614 68620 42960],1509232253191
66,[66120 75734 76694 86256],[42578 34631 68622 42943],1509232253201
67,[66148 75735 76695 86232],[42570 34652 68624 42933],1509232253211
68,[66169 75738 76695 86218],[42562 34675 68624 42925],1509232253221
69,[66177 75739 76696 86206],[42557 34685 68624 42916],1509232253231
70,[66172 75731 76696 86201],[42560 34680 68623 42915],1509232253241
71,[66171 75737 76696 86210],[42560 34678 68624 42917],1509232253251
72,[66174 75740 76697 86219],[42558 34675 68622 42924],1509232253261
73,[66166 75738 76692 86220],[42561 34669 68624 42924],1509232253271
74,[66154 75729 76695 86216],[42565 34663 68623 42923],1509232253281
75,[66155 75730 76693 86220],[42564 34662 68623 42924],1509232253291
76,[66164 75740 76695 86228],[42561 34666 68623 42927],1509232253301
77,[66167 75743 76695 86225],[42561 34667 68622 42927],1509232253311
78,[66160 75735 76692 86220],[42563 34665 68625 42925],1509232253321
79,[66160 75732 76692 86218],[42563 34665 68624 42923],1509232253331
80,[66164 75738 76694 86221],[42562 34669 68623 42925],1509232253341
81,[66165 75736 76694 86221],[42561 34669 68625 42925],1509232253351
82,[66158 75733 76693 86218],[42565 34667 68625 42925],1509232253361
83,[66160 75734 76695 86218],[42564 34666 68623 42924],1509232253371
84,[66164 75741 76695 86224],[42563 34668 68623 42925],1509232253381
85,[66167 75739 76694 86224],[42561 34668 68624 42927],1509232253392
86,[66161 75734 76695 86219],[42563 34665 68624 42925],1509232253401
87,[66159 75732 76694 86216],[42565 34667 68623 42924],1509232253412
88,[66163 75735 76694 86218],[42563 34669 68624 42924],1509232253422
89,[66165 75737 76694 86220],[42561 34668 68624 42925],1509232253431
