,x,y,time
0,[66055 75739 76756 86136],[43215 35226 69096 43491],1509230775910
1,[66054 75739 76757 86134],[43216 35227 69095 43492],1509230775920
2,[66056 75739 76758 86132],[43216 35228 69095 43491],1509230775930
3,[66056 75739 76758 86133],[43215 35228 69096 43492],1509230775940
4,[66057 75737 76756 86132],[43215 35228 69096 43490],1509230775950
5,[66053 75736 76756 86131],[43215 35228 69097 43490],1509230775960
6,[66056 75738 76756 86134],[43213 35227 69096 43490],1509230775970
7,[66055 75739 76756 86135],[43215 35227 69097 43491],1509230775983
8,[66056 75739 76757 86134],[43215 35227 69097 43491],1509230775990
9,[66051 75739 76757 86134],[43217 35227 69096 43492],1509230776000
10,[66054 75737 76757 86133],[43215 35227 69097 43491],1509230776010
11,[66056 75739 76757 86134],[43215 35226 69095 43490],1509230776020
12,[66054 75737 76758 86134],[43215 35227 69097 43490],1509230776030
13,[66051 75736 76756 86133],[43216 35228 69098 43490],1509230776040
14,[66053 75738 76758 86132],[43217 35228 69096 43491],1509230776050
15,[66054 75739 76756 86134],[43215 35228 69097 43491],1509230776060
16,[66055 75738 76756 86135],[43215 35227 69096 43491],1509230776070
17,[66055 75739 76756 86134],[43216 35227 69097 43491],1509230776080
18,[66056 75739 76756 86134],[43216 35227 69097 43490],1509230776090
19,[66055 75738 76756 86133],[43216 35228 69097 43490],1509230776100
20,[66053 75737 76758 86131],[43216 35228 69097 43490],1509230776111
21,[66053 75737 76757 86132],[43216 35228 69097 43491],1509230776120
22,[66054 75738 76758 86133],[43215 35227 69095 43491],1509230776130
23,[66055 75739 76756 86135],[43216 35227 69096 43491],1509230776140
24,[66055 75739 76755 86134],[43215 35226 69097 43491],1509230776150
25,[66056 75739 76755 86135],[43215 35226 69097 43491],1509230776160
26,[66055 75738 76758 86133],[43216 35227 69096 43491],1509230776170
27,[66055 75737 76756 86132],[43215 35228 69096 43490],1509230776180
28,[66054 75736 76756 86131],[43216 35228 69097 43490],1509230776190
29,[66053 75737 76755 86134],[43216 35228 69098 43490],1509230776200
30,[66056 75738 76758 86133],[43215 35227 69096 43491],1509230776210
31,[66055 75739 76756 86135],[43215 35227 69097 43490],1509230776220
32,[66054 75739 76757 86134],[43216 35227 69096 43491],1509230776230
33,[66055 75738 76755 86134],[43216 35227 69097 43490],1509230776241
34,[66055 75738 76756 86132],[43216 35228 69098 43491],1509230776250
35,[66051 75734 76756 86131],[43218 35227 69099 43490],1509230776260
36,[66051 75736 76756 86131],[43217 35227 69098 43490],1509230776270
37,[66053 75737 76756 86134],[43215 35226 69097 43491],1509230776280
38,[66052 75739 76756 86136],[43215 35226 69097 43492],1509230776290
39,[66053 75738 76758 86135],[43217 35227 69098 43492],1509230776300
40,[66053 75738 76758 86135],[43217 35227 69097 43492],1509230776310
41,[66055 75739 76758 86134],[43215 35227 69095 43492],1509230776321
42,[66055 75737 76758 86132],[43215 35227 69097 43490],1509230776330
43,[66055 75736 76756 86130],[43216 35228 69098 43490],1509230776340
44,[66053 75737 76757 86133],[43216 35228 69097 43491],1509230776350
45,[66054 75738 76758 86133],[43216 35228 69096 43491],1509230776360
46,[66054 75739 76758 86134],[43217 35228 69096 43492],1509230776371
47,[66054 75738 76759 86134],[43215 35227 69095 43491],1509230776380
48,[66055 75738 76758 86133],[43215 35227 69095 43491],1509230776390
49,[66054 75738 76756 86134],[43215 35228 69097 43491],1509230776400
50,[66055 75738 76758 86132],[43215 35228 69096 43491],1509230776410
51,[66053 75736 76758 86133],[43215 35228 69096 43490],1509230776420
52,[66052 75737 76757 86132],[43216 35228 69098 43492],1509230776430
53,[66054 75738 76756 86134],[43215 35227 69097 43491],1509230776440
54,[66055 75739 76755 86134],[43214 35227 69099 43491],1509230776450
55,[66055 75739 76757 86135],[43215 35227 69096 43491],1509230776460
56,[66055 75739 76757 86134],[43215 35227 69096 43491],1509230776470
57,[66053 75738 76757 86134],[43215 35228 69097 43491],1509230776480
58,[66054 75738 76758 86133],[43214 35227 69095 43491],1509230776490
59,[66056 75737 76758 86133],[43215 35227 69096 43491],1509230776500
60,[66053 75737 76756 86132],[43215 35227 69097 43491],1509230776510
61,[66055 75737 76758 86134],[43215 35227 69096 43490],1509230776520
62,[66056 75738 76758 86134],[43214 35227 69096 43491],1509230776530
63,[66056 75740 76755 86134],[43215 35226 69098 43492],1509230776540
64,[66056 75739 76757 86135],[43215 35227 69096 43491],1509230776551
