,x,y,time
0,[63072 72854 73191 82899],[43884 35882 69058 44284],1509129411216
1,[63086 72362 72855 73172 82908],[43871 67891 35880 69043 44282],1509129411216
2,[63077 72863 73178 82912],[43882 35882 69046 44291],1509129411216
3,[63074 73352 72855 73178 82906],[43882 67499 35880 69043 44286],1509129411216
4,[63068 72854 73191 82905],[43883 35878 69057 44285],1509129411217
5,[63081 72855 73174 82909],[43875 35877 69043 44282],1509129411220
6,[63076 72862 73180 82912],[43882 35880 69045 44289],1509129411230
7,[63076 72857 73190 82909],[43881 35880 69061 44286],1509129411240
8,[63067 72853 73179 82908],[43884 35878 69045 44284],1509129411251
9,[63069 72855 73188 82908],[43885 35878 69059 44285],1509129411261
10,[63072 72860 73192 82914],[43883 35877 69058 44290],1509129411273
11,[63076 72858 73175 82913],[43880 35876 69043 44288],1509129411280
12,[63068 72857 73180 82909],[43885 35878 69045 44287],1509129411291
13,[63068 72853 73180 82904],[43884 35878 69044 44286],1509129411300
14,[63071 72857 73179 82911],[43885 35880 69046 44289],1509129411310
15,[63074 72859 73178 82909],[43883 35878 69043 44288],1509129411320
16,[63069 72856 73178 82910],[43887 35877 69044 44286],1509129411330
17,[63067 72854 73176 82907],[43885 35877 69042 44286],1509129411340
18,[62808 72831 73198 83187],[44105 35829 69140 44578],1509129411350
19,[62679 73307 72890 73158 83455],[44081 67564 35475 69095 44685],1509129411360
20,[62263 72892 73131 83890],[44251 34974 69097 44970],1509129411370
21,[61788 72218 73194 72889 73107 84287],[44458 67976 67537 34330 69104 45253],1509129411381
22,[61381 72896 73075 84690],[44631 33494 69093 45534],1509129411390
23,[61074 72981 73045 85020],[44756 32516 69084 45778],1509129411400
24,[60854 73013 73033 85210],[44843 31482 69079 45923],1509129411410
25,[60714 73021 73011 85251],[44912 30418 69073 45972],1509129411421
26,[60689 73023 73008 85216],[44922 29283 69068 45947],1509129411430
27,[60783 73054 73090 73028 85100],[44865 67516 28063 69080 45854],1509129411440
28,[60981 73151 73043 84897],[44769 26817 69075 45686],1509129411450
29,[61263 73166 73056 84585],[44645 25585 69073 45455],1509129411460
30,[61653 73182 73199 73102 84188],[44476 67527 24320 69092 45173],1509129411470
31,[62197 73258 73248 73142 83690],[44251 67550 22961 69102 44836],1509129411480
32,[62901 73310 73187 83066],[43954 21515 69098 44416],1509129411491
33,[63754 73355 73229 82305],[43627 20071 69072 43949],1509129411500
34,[64771 73370 73278 81403],[43272 18665 69040 43451],1509129411510
35,[65904 73409 73353 80401],[42953 17324 68992 42931],1509129411520
36,[66587 73219 73480 79793],[42223 68481 16140 42182],1509129411530
