,x,y,time
0,[64273 64652 76710],[67659 55022 68318],1509232140892
1,[64273 64652 76711],[67659 55021 68317],1509232140893
2,[64273 64652 76709],[67660 55021 68318],1509232140893
3,[64272 64652 76710],[67659 55021 68319],1509232140893
4,[64272 64652 76710],[67659 55021 68318],1509232140893
5,[64273 64652 76710],[67659 55021 68318],1509232140900
6,[64272 64652 76711],[67659 55022 68318],1509232140910
7,[64273 64653 76710],[67659 55022 68319],1509232140920
8,[64274 64653 76708],[67659 55022 68318],1509232140930
9,[64273 64652 76709],[67660 55022 68319],1509232140940
10,[64272 64653 76710],[67659 55022 68319],1509232140950
11,[64272 64652 76711],[67658 55022 68318],1509232140960
12,[64273 64652 76710],[67659 55022 68319],1509232140970
13,[64273 64652 76711],[67658 55022 68319],1509232140981
14,[64274 64652 76711],[67659 55021 68319],1509232140990
15,[64274 64652 76709],[67660 55022 68319],1509232141000
16,[64272 64653 76711],[67659 55021 68317],1509232141010
17,[64272 64652 76711],[67659 55021 68318],1509232141021
18,[64272 64653 76711],[67660 55022 68318],1509232141030
19,[64273 64652 76710],[67659 55021 68319],1509232141040
20,[64273 64652 76710],[67660 55021 68319],1509232141050
21,[64274 64652 76710],[67659 55021 68319],1509232141060
22,[64273 64652 76710],[67659 55022 68317],1509232141070
23,[64276 64652 76711],[67659 55021 68318],1509232141080
24,[64274 64652 76711],[67658 55021 68318],1509232141093
25,[64273 64653 76709],[67661 55022 68319],1509232141100
26,[64272 64652 76711],[67660 55021 68318],1509232141110
27,[64274 64652 76711],[67660 55021 68318],1509232141120
28,[64273 64653 76711],[67659 55022 68319],1509232141130
29,[64273 64652 76711],[67660 55021 68318],1509232141140
30,[64273 64653 76711],[67660 55021 68318],1509232141150
31,[64273 64652 76710],[67660 55021 68319],1509232141160
32,[64274 64653 76709],[67659 55022 68318],1509232141170
33,[64273 64652 76710],[67660 55021 68318],1509232141180
34,[64273 64652 76710],[67660 55022 68319],1509232141190
35,[64272 64652 76710],[67660 55022 68318],1509232141201
36,[64272 64652 76711],[67659 55022 68318],1509232141211
37,[64273 64654 76710],[67660 55022 68319],1509232141221
38,[64273 64652 76711],[67660 55022 68318],1509232141230
39,[64276 64652 76710],[67659 55021 68319],1509232141241
40,[64272 64653 76710],[67659 55022 68318],1509232141250
41,[64273 64652 76709],[67659 55021 68319],1509232141260
42,[64274 64652 76711],[67659 55022 68318],1509232141270
43,[64273 64653 76711],[67659 55022 68319],1509232141280
44,[64271 64653 76710],[67660 55022 68318],1509232141290
45,[64273 64653 76710],[67659 55022 68319],1509232141300
46,[64273 64651 76709],[67660 55022 68319],1509232141310
47,[64271 64652 76710],[67659 55022 68318],1509232141320
48,[64273 64653 76710],[67660 55022 68319],1509232141330
49,[64274 64652 76711],[67658 55021 68318],1509232141340
50,[64270 64652 76710],[67659 55022 68318],1509232141350
51,[64271 64652 76710],[67660 55021 68319],1509232141360
52,[64270 64652 76710],[67659 55021 68318],1509232141370
53,[64271 64652 76711],[67659 55022 68319],1509232141381
54,[64272 64654 76708],[67659 55021 68319],1509232141391
55,[64272 64652 76712],[67658 55021 68319],1509232141400
56,[64273 64652 76710],[67660 55022 68319],1509232141410
57,[64274 64652 76709],[67659 55021 68318],1509232141420
58,[64273 64653 76709],[67660 55022 68318],1509232141430
59,[64272 64652 76709],[67659 55022 68319],1509232141440
60,[64273 64652 76710],[67660 55022 68319],1509232141451
61,[64273 64652 76709],[67659 55022 68319],1509232141460
62,[64274 64652 76710],[67660 55022 68319],1509232141470
63,[64272 64652 76710],[67659 55022 68317],1509232141480
64,[64273 64652 76709],[67660 55022 68318],1509232141490
65,[64273 64652 76709],[67660 55021 68319],1509232141500
66,[64274 64652 76710],[67660 55022 68318],1509232141510
67,[64272 64652 76709],[67660 55021 68319],1509232141520
68,[64273 64652 76711],[67658 55022 68319],1509232141530
69,[64272 64652 76711],[67660 55022 68318],1509232141540
70,[64270 64652 76710],[67660 55022 68318],1509232141550
71,[64274 64652 76709],[67660 55022 68318],1509232141560
72,[64274 64652 76710],[67659 55022 68318],1509232141570
73,[64274 64651 76710],[67659 55022 68318],1509232141580
74,[64273 64652 76710],[67659 55021 68318],1509232141590
75,[64273 64652 76709],[67660 55022 68318],1509232141601
76,[64273 64653 76710],[67660 55022 68318],1509232141610
77,[64272 64652 76711],[67660 55022 68319],1509232141620
78,[64273 64652 76711],[67660 55022 68319],1509232141630
79,[64274 64652 76709],[67660 55022 68319],1509232141640
80,[64273 64652 76710],[67659 55022 68320],1509232141650
81,[64275 64652 76709],[67659 55022 68318],1509232141660
82,[64274 64652 76711],[67659 55022 68318],1509232141670
83,[64274 64653 76711],[67660 55021 68319],1509232141680
84,[64273 64652 76711],[67660 55021 68319],1509232141690
85,[64275 64652 76710],[67660 55022 68318],1509232141700
86,[64273 64652 76710],[67659 55021 68319],1509232141711
87,[64271 64652 76710],[67660 55021 68318],1509232141720
88,[64273 64652 76710],[67660 55022 68319],1509232141730
89,[64274 64651 76711],[67659 55022 68319],1509232141740
90,[64271 64653 76711],[67659 55021 68319],1509232141750
91,[64272 64652 76709],[67661 55022 68319],1509232141760
92,[64273 64653 76711],[67661 55022 68319],1509232141770
93,[64273 64652 76712],[67660 55021 68318],1509232141780
94,[64273 64652 76710],[67660 55022 68318],1509232141791
95,[64273 64652 76711],[67659 55022 68319],1509232141800
96,[64272 64652 76708],[67660 55022 68319],1509232141810
97,[64272 64652 76711],[67660 55022 68318],1509232141821
98,[64273 64651 76709],[67660 55021 68318],1509232141831
99,[64273 64653 76709],[67660 55021 68320],1509232141841
100,[64273 64652 76709],[67660 55022 68319],1509232141850
101,[64274 64653 76711],[67660 55022 68319],1509232141860
102,[64273 64653 76710],[67660 55022 68318],1509232141871
103,[64273 64653 76710],[67660 55021 68319],1509232141880
104,[64274 64653 76711],[67660 55022 68318],1509232141890
105,[64273 64651 76711],[67660 55021 68319],1509232141900
106,[64272 64651 76710],[67661 55022 68319],1509232141910
107,[64272 64652 76710],[67660 55022 68319],1509232141920
108,[64272 64653 76711],[67661 55021 68319],1509232141930
109,[64272 64652 76709],[67661 55022 68320],1509232141941
110,[64274 64652 76709],[67660 55022 68320],1509232141950
